rgn_id,species_latin,species_common,CHN_class,IUCN_class,value
GD,Holothuria ocellata,Holothuria ocellata,,EN,0.6
GD,Holothuria spinifera ,Holothuria spinifera,,EN,0.6
GD,Stichopus variegatus ,Stichopus variegatus Semper,,EN,0.6
GD,Mensamaria intercedens ,Mensamaria intercedens,,EN,0.6
GD,Colochirus anceps ,Colochirus anceps,,EN,0.6
GD,Colochirus quadrangularis ,Colochirus quadrangularis Troschel,,EN,0.6
GD,"Anthocidaris crassispina 
 
",Anthocidaris crassispina,,EN,0.6
GD,Branchiostoma belcheri Gray,Branchiostoma belcheri,,EN,0.6
GX,Sousa chinensis,"Indo-pacific Hump-backed Dolphin, Indo-Pacific Humpbacked Dolphin, Indo-pacific Humpback Dolphin, Chinese White Dolphin",1,,0.46
GX,Pseudorca crassidens,False Killer Whale,2,,0.17
GX,Hippocampus kelloggi,Great Seahorse,2,,0.17
GX,Lepidochelys olivacea,Olive Ridley Sea Turtle,2,,0.17
GX,Lagenorhynchus obliquidens ,Pacific White-sided Dolphin,2,LC,0
GX,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
GX,Balaenoptera acutorostrata,Common Minke Whale,2,LC,0
GX,Mycteria leucocephala,Painted Stork,1,,0.46
GX,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
GX,Hirundapus cochinchinensis ,Silver-backed Needletail,2,,0.17
GX,Haliaeetus albicilla ,White-tailed Eagle,1,,0.46
GX,Ciconia ciconia ,White Stork,1,,0.46
GX,Steno bredanensis ,Rough-toothed Dolphin,2,,0.17
GX,Ichthyaetus relictus,Relict Gull,1,VU,0.4
GX,Stenella longirostris ,Long-beaked Common Dolphin,2,DD,0.17
GX,Chlidonias niger,Black Stork,1,,0.46
GX,Tachpleus tridentatus,Tachpleus tridentatus,,EN,0.6
GX,Pavona decussata ,Pavona decussata,,EN,0.6
GX,Pavona frondifera Lamarck,Pavona frondifera Lamarck,,EN,0.6
GX,Oliva miniacea,Oliva miniacea,,EN,0.6
GX,Atrina vexillum ,Atrina vexillum,,EN,0.6
GX,Fenneropenaeus merguiensis,Fenneropenaeus merguiensis,,EN,0.6
GX,Fenneropenaeus penicillatus ,Fenneropenaeus penicillatus,,EN,0.6
GX,Metapenaeus joyneri,Metapenaeus joyneri,,EN,0.6
GX,Panulirus stimposoni Holthuis,Panulirus stimposoni Holthuis,,EN,0.6
GX,Nuciops modesta ,Nuciops modesta,,EN,0.6
GX,Myra coalita Hilgendof,Myra coalita Hilgendof,,EN,0.6
GX,Leucosia pulchra Shen & Chen,Leucosia pulchra Shen & Chen,,EN,0.6
GX,Leucosia sinica Shen & Chen,Leucosia sinica Shen & Chen,,EN,0.6
